0-496: pg mediated inhibition with nc[15][]=0
497-993: pg mediated inhibition with nc[15][]=1
994-1490: gc mediated inhibition 

pg mediated inhibition with nc[15][]=0 
run_ 128 /parameters.hoc:light1_peak_rate = 140
run_ 129 /parameters.hoc:breath_peak_rate = 320
run_ 129 /parameters.hoc:light1_peak_rate = 160
run_ 130 /parameters.hoc:breath_peak_rate = 320
run_ 130 /parameters.hoc:light1_peak_rate = 180
run_ 131 /parameters.hoc:breath_peak_rate = 320
run_ 131 /parameters.hoc:light1_peak_rate = 200
run_ 132 /parameters.hoc:breath_peak_rate = 320
run_ 132 /parameters.hoc:light1_peak_rate = 220
run_ 133 /parameters.hoc:breath_peak_rate = 320
run_ 133 /parameters.hoc:light1_peak_rate = 240
run_ 134 /parameters.hoc:breath_peak_rate = 320
run_ 134 /parameters.hoc:light1_peak_rate = 260
run_ 135 /parameters.hoc:breath_peak_rate = 320
run_ 135 /parameters.hoc:light1_peak_rate = 280
run_ 136 /parameters.hoc:breath_peak_rate = 320
run_ 136 /parameters.hoc:light1_peak_rate = 300
run_ 137 /parameters.hoc:breath_peak_rate = 340
run_ 137 /parameters.hoc:light1_peak_rate = 0
run_ 138 /parameters.hoc:breath_peak_rate = 340
run_ 138 /parameters.hoc:light1_peak_rate = 20
run_ 139 /parameters.hoc:breath_peak_rate = 340
run_ 139 /parameters.hoc:light1_peak_rate = 40
run_ 140 /parameters.hoc:breath_peak_rate = 340
run_ 140 /parameters.hoc:light1_peak_rate = 60
run_ 141 /parameters.hoc:breath_peak_rate = 340
run_ 141 /parameters.hoc:light1_peak_rate = 80
run_ 142 /parameters.hoc:breath_peak_rate = 340
run_ 142 /parameters.hoc:light1_peak_rate = 100
run_ 143 /parameters.hoc:breath_peak_rate = 340
run_ 143 /parameters.hoc:light1_peak_rate = 120
run_ 144 /parameters.hoc:breath_peak_rate = 340
run_ 144 /parameters.hoc:light1_peak_rate = 140
run_ 145 /parameters.hoc:breath_peak_rate = 340
run_ 145 /parameters.hoc:light1_peak_rate = 160
run_ 146 /parameters.hoc:breath_peak_rate = 340
run_ 146 /parameters.hoc:light1_peak_rate = 180
run_ 147 /parameters.hoc:breath_peak_rate = 340
run_ 147 /parameters.hoc:light1_peak_rate = 200
run_ 148 /parameters.hoc:breath_peak_rate = 340
run_ 148 /parameters.hoc:light1_peak_rate = 220
run_ 149 /parameters.hoc:breath_peak_rate = 340
run_ 149 /parameters.hoc:light1_peak_rate = 240
run_ 150 /parameters.hoc:breath_peak_rate = 340
run_ 150 /parameters.hoc:light1_peak_rate = 260
run_ 151 /parameters.hoc:breath_peak_rate = 340
run_ 151 /parameters.hoc:light1_peak_rate = 280
run_ 152 /parameters.hoc:breath_peak_rate = 340
run_ 152 /parameters.hoc:light1_peak_rate = 300
run_ 153 /parameters.hoc:breath_peak_rate = 340
run_ 153 /parameters.hoc:light1_peak_rate = 320
run_ 154 /parameters.hoc:breath_peak_rate = 360
run_ 154 /parameters.hoc:light1_peak_rate = 0
run_ 155 /parameters.hoc:breath_peak_rate = 360
run_ 155 /parameters.hoc:light1_peak_rate = 20
run_ 156 /parameters.hoc:breath_peak_rate = 360
run_ 156 /parameters.hoc:light1_peak_rate = 40
run_ 157 /parameters.hoc:breath_peak_rate = 360
run_ 157 /parameters.hoc:light1_peak_rate = 60
run_ 158 /parameters.hoc:breath_peak_rate = 360
run_ 158 /parameters.hoc:light1_peak_rate = 80
run_ 159 /parameters.hoc:breath_peak_rate = 360
run_ 159 /parameters.hoc:light1_peak_rate = 100
run_ 160 /parameters.hoc:breath_peak_rate = 360
run_ 160 /parameters.hoc:light1_peak_rate = 120
run_ 161 /parameters.hoc:breath_peak_rate = 360
run_ 161 /parameters.hoc:light1_peak_rate = 140
run_ 162 /parameters.hoc:breath_peak_rate = 360
run_ 162 /parameters.hoc:light1_peak_rate = 160
run_ 163 /parameters.hoc:breath_peak_rate = 360
run_ 163 /parameters.hoc:light1_peak_rate = 180
run_ 164 /parameters.hoc:breath_peak_rate = 360
run_ 164 /parameters.hoc:light1_peak_rate = 200
run_ 165 /parameters.hoc:breath_peak_rate = 360
run_ 165 /parameters.hoc:light1_peak_rate = 220
run_ 166 /parameters.hoc:breath_peak_rate = 360
run_ 166 /parameters.hoc:light1_peak_rate = 240
run_ 167 /parameters.hoc:breath_peak_rate = 360
run_ 167 /parameters.hoc:light1_peak_rate = 260
run_ 168 /parameters.hoc:breath_peak_rate = 360
run_ 168 /parameters.hoc:light1_peak_rate = 280
run_ 169 /parameters.hoc:breath_peak_rate = 360
run_ 169 /parameters.hoc:light1_peak_rate = 300
run_ 170 /parameters.hoc:breath_peak_rate = 360
run_ 170 /parameters.hoc:light1_peak_rate = 320
run_ 171 /parameters.hoc:breath_peak_rate = 360
run_ 171 /parameters.hoc:light1_peak_rate = 340
run_ 172 /parameters.hoc:breath_peak_rate = 380
run_ 172 /parameters.hoc:light1_peak_rate = 0
run_ 173 /parameters.hoc:breath_peak_rate = 380
run_ 173 /parameters.hoc:light1_peak_rate = 20
run_ 174 /parameters.hoc:breath_peak_rate = 380
run_ 174 /parameters.hoc:light1_peak_rate = 40
run_ 175 /parameters.hoc:breath_peak_rate = 380
run_ 175 /parameters.hoc:light1_peak_rate = 60
run_ 176 /parameters.hoc:breath_peak_rate = 380
run_ 176 /parameters.hoc:light1_peak_rate = 80
run_ 177 /parameters.hoc:breath_peak_rate = 380
run_ 177 /parameters.hoc:light1_peak_rate = 100
run_ 178 /parameters.hoc:breath_peak_rate = 380
run_ 178 /parameters.hoc:light1_peak_rate = 120
run_ 179 /parameters.hoc:breath_peak_rate = 380
run_ 179 /parameters.hoc:light1_peak_rate = 140
run_ 180 /parameters.hoc:breath_peak_rate = 380
run_ 180 /parameters.hoc:light1_peak_rate = 160
run_ 181 /parameters.hoc:breath_peak_rate = 380
run_ 181 /parameters.hoc:light1_peak_rate = 180
run_ 182 /parameters.hoc:breath_peak_rate = 380
run_ 182 /parameters.hoc:light1_peak_rate = 200
run_ 183 /parameters.hoc:breath_peak_rate = 380
run_ 183 /parameters.hoc:light1_peak_rate = 220
run_ 184 /parameters.hoc:breath_peak_rate = 380
run_ 184 /parameters.hoc:light1_peak_rate = 240
run_ 185 /parameters.hoc:breath_peak_rate = 380
run_ 185 /parameters.hoc:light1_peak_rate = 260
run_ 186 /parameters.hoc:breath_peak_rate = 380
run_ 186 /parameters.hoc:light1_peak_rate = 280
run_ 187 /parameters.hoc:breath_peak_rate = 380
run_ 187 /parameters.hoc:light1_peak_rate = 300
run_ 188 /parameters.hoc:breath_peak_rate = 380
run_ 188 /parameters.hoc:light1_peak_rate = 320
run_ 189 /parameters.hoc:breath_peak_rate = 380
run_ 189 /parameters.hoc:light1_peak_rate = 340
run_ 190 /parameters.hoc:breath_peak_rate = 380
run_ 190 /parameters.hoc:light1_peak_rate = 360
run_ 191 /parameters.hoc:breath_peak_rate = 400
run_ 191 /parameters.hoc:light1_peak_rate = 0
run_ 192 /parameters.hoc:breath_peak_rate = 400
run_ 192 /parameters.hoc:light1_peak_rate = 20
run_ 193 /parameters.hoc:breath_peak_rate = 400
run_ 193 /parameters.hoc:light1_peak_rate = 40
run_ 194 /parameters.hoc:breath_peak_rate = 400
run_ 194 /parameters.hoc:light1_peak_rate = 60
run_ 195 /parameters.hoc:breath_peak_rate = 400
run_ 195 /parameters.hoc:light1_peak_rate = 80
run_ 196 /parameters.hoc:breath_peak_rate = 400
run_ 196 /parameters.hoc:light1_peak_rate = 100
run_ 197 /parameters.hoc:breath_peak_rate = 400
run_ 197 /parameters.hoc:light1_peak_rate = 120
run_ 198 /parameters.hoc:breath_peak_rate = 400
run_ 198 /parameters.hoc:light1_peak_rate = 140
run_ 199 /parameters.hoc:breath_peak_rate = 400
run_ 199 /parameters.hoc:light1_peak_rate = 160
run_ 200 /parameters.hoc:breath_peak_rate = 400
run_ 200 /parameters.hoc:light1_peak_rate = 180
run_ 201 /parameters.hoc:breath_peak_rate = 400
run_ 201 /parameters.hoc:light1_peak_rate = 200
run_ 202 /parameters.hoc:breath_peak_rate = 400
run_ 202 /parameters.hoc:light1_peak_rate = 220
run_ 203 /parameters.hoc:breath_peak_rate = 400
run_ 203 /parameters.hoc:light1_peak_rate = 240
run_ 204 /parameters.hoc:breath_peak_rate = 400
run_ 204 /parameters.hoc:light1_peak_rate = 260
run_ 205 /parameters.hoc:breath_peak_rate = 400
run_ 205 /parameters.hoc:light1_peak_rate = 280
run_ 206 /parameters.hoc:breath_peak_rate = 400
run_ 206 /parameters.hoc:light1_peak_rate = 300
run_ 207 /parameters.hoc:breath_peak_rate = 400
run_ 207 /parameters.hoc:light1_peak_rate = 320
run_ 208 /parameters.hoc:breath_peak_rate = 400
run_ 208 /parameters.hoc:light1_peak_rate = 340
run_ 209 /parameters.hoc:breath_peak_rate = 400
run_ 209 /parameters.hoc:light1_peak_rate = 360
run_ 210 /parameters.hoc:breath_peak_rate = 400
run_ 210 /parameters.hoc:light1_peak_rate = 380
run_ 211 /parameters.hoc:breath_peak_rate = 420
run_ 211 /parameters.hoc:light1_peak_rate = 0
run_ 212 /parameters.hoc:breath_peak_rate = 420
run_ 212 /parameters.hoc:light1_peak_rate = 20
run_ 213 /parameters.hoc:breath_peak_rate = 420
run_ 213 /parameters.hoc:light1_peak_rate = 40
run_ 214 /parameters.hoc:breath_peak_rate = 420
run_ 214 /parameters.hoc:light1_peak_rate = 60
run_ 215 /parameters.hoc:breath_peak_rate = 420
run_ 215 /parameters.hoc:light1_peak_rate = 80
run_ 216 /parameters.hoc:breath_peak_rate = 420
run_ 216 /parameters.hoc:light1_peak_rate = 100
run_ 217 /parameters.hoc:breath_peak_rate = 420
run_ 217 /parameters.hoc:light1_peak_rate = 120
run_ 218 /parameters.hoc:breath_peak_rate = 420
run_ 218 /parameters.hoc:light1_peak_rate = 140
run_ 219 /parameters.hoc:breath_peak_rate = 420
run_ 219 /parameters.hoc:light1_peak_rate = 160
run_ 220 /parameters.hoc:breath_peak_rate = 420
run_ 220 /parameters.hoc:light1_peak_rate = 180
run_ 221 /parameters.hoc:breath_peak_rate = 420
run_ 221 /parameters.hoc:light1_peak_rate = 200
run_ 222 /parameters.hoc:breath_peak_rate = 420
run_ 222 /parameters.hoc:light1_peak_rate = 220
run_ 223 /parameters.hoc:breath_peak_rate = 420
run_ 223 /parameters.hoc:light1_peak_rate = 240
run_ 224 /parameters.hoc:breath_peak_rate = 420
run_ 224 /parameters.hoc:light1_peak_rate = 260
run_ 225 /parameters.hoc:breath_peak_rate = 420
run_ 225 /parameters.hoc:light1_peak_rate = 280
run_ 226 /parameters.hoc:breath_peak_rate = 420
run_ 226 /parameters.hoc:light1_peak_rate = 300
run_ 227 /parameters.hoc:breath_peak_rate = 420
run_ 227 /parameters.hoc:light1_peak_rate = 320
run_ 228 /parameters.hoc:breath_peak_rate = 420
run_ 228 /parameters.hoc:light1_peak_rate = 340
run_ 229 /parameters.hoc:breath_peak_rate = 420
run_ 229 /parameters.hoc:light1_peak_rate = 360
run_ 230 /parameters.hoc:breath_peak_rate = 420
run_ 230 /parameters.hoc:light1_peak_rate = 380
run_ 231 /parameters.hoc:breath_peak_rate = 420
run_ 231 /parameters.hoc:light1_peak_rate = 400
run_ 232 /parameters.hoc:breath_peak_rate = 440
run_ 232 /parameters.hoc:light1_peak_rate = 0
run_ 233 /parameters.hoc:breath_peak_rate = 440
run_ 233 /parameters.hoc:light1_peak_rate = 20
run_ 234 /parameters.hoc:breath_peak_rate = 440
run_ 234 /parameters.hoc:light1_peak_rate = 40
run_ 235 /parameters.hoc:breath_peak_rate = 440
run_ 235 /parameters.hoc:light1_peak_rate = 60
run_ 236 /parameters.hoc:breath_peak_rate = 440
run_ 236 /parameters.hoc:light1_peak_rate = 80
run_ 237 /parameters.hoc:breath_peak_rate = 440
run_ 237 /parameters.hoc:light1_peak_rate = 100
run_ 238 /parameters.hoc:breath_peak_rate = 440
run_ 238 /parameters.hoc:light1_peak_rate = 120
run_ 239 /parameters.hoc:breath_peak_rate = 440
run_ 239 /parameters.hoc:light1_peak_rate = 140
run_ 240 /parameters.hoc:breath_peak_rate = 440
run_ 240 /parameters.hoc:light1_peak_rate = 160
run_ 241 /parameters.hoc:breath_peak_rate = 440
run_ 241 /parameters.hoc:light1_peak_rate = 180
run_ 242 /parameters.hoc:breath_peak_rate = 440
run_ 242 /parameters.hoc:light1_peak_rate = 200
run_ 243 /parameters.hoc:breath_peak_rate = 440
run_ 243 /parameters.hoc:light1_peak_rate = 220
run_ 244 /parameters.hoc:breath_peak_rate = 440
